nome,grupo_muscular_principal,equipamento,dificuldade,gif_url,publico
Rosca Neutra Unilateral no Banco Scort,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-neutra-unilateral-no-banco-scort.gif,true
Rosca Neutra com Halteres,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-neutra-com-halteres.gif,true
Rosca Neutra com Halteres Sentado no Banco,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-neutra-com-halteres-sentado-no-banco.gif,true
Rosca Neutra no Banco Scort Aparelho,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-neutra-no-banco-scort-aparelho.gif,true
Rosca Punho,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-punho.gif,true
Rosca Punho Invertida,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-punho-invertida.gif,true
Rosca Punho Invertida Apoio Antebraco,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-punho-invertida-apoio-antebraco.gif,true
Rosca Punho Invertida com Halteres,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-punho-invertida-com-halteres.gif,true
Rosca Punho Martelo,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-punho-martelo.gif,true
Rosca Punho Por Tras,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-punho-por-tras.gif,true
Rosca Punho Unilatera,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-punho-unilatera.gif,true
Rosca Punho com Anilha,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-punho-com-anilha.gif,true
Rosca Punho com Barra,biceps,barra,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-punho-com-barra.gif,true
Rosca Scott Alternada,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-scott-alternada.gif,true
Rosca Scott Barra Reta,biceps,barra,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-scott-barra-reta.gif,true
Rosca Scott Martelo,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-scott-martelo.gif,true
Rosca Scott Martelo Unilateral,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-scott-martelo-unilateral.gif,true
Rosca Scott Unil com Halteres,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-scott-unil-com-halteres.gif,true
